system_id,criterion,weight,mean,median
gd2,c1_context_correct,1.0,1.0,1.0
gd2,c2_identify_source,2.0,1.0,1.0
gd2,c3_trace_source_to_sink,3.0,1.0,1.0
gd2,c4_vuln_hypothesis,3.0,1.0,1.0
gd2,c5_root_cause_explanation,2.0,1.0,1.0
gd2,c6_correct_location,2.0,1.0,1.0
gd2,c7_pattern_or_cve_reference,2.0,1.0,1.0
gd2,c8_trigger_and_poc_concept,2.0,1.0,1.0
gd2,c9_impact_classification,2.0,1.0,1.0
gd2,c10_low_false_positive,2.0,1.0,1.0
base,c1_context_correct,1.0,1.0,1.0
base,c2_identify_source,2.0,1.0,1.0
base,c3_trace_source_to_sink,3.0,1.0,1.0
base,c4_vuln_hypothesis,3.0,0.933333,1.0
base,c5_root_cause_explanation,2.0,0.933333,1.0
base,c6_correct_location,2.0,1.0,1.0
base,c7_pattern_or_cve_reference,2.0,0.333333,0.0
base,c8_trigger_and_poc_concept,2.0,0.933333,1.0
base,c9_impact_classification,2.0,1.0,1.0
base,c10_low_false_positive,2.0,1.0,1.0
gd1,c1_context_correct,1.0,1.0,1.0
gd1,c2_identify_source,2.0,1.0,1.0
gd1,c3_trace_source_to_sink,3.0,0.666667,1.0
gd1,c4_vuln_hypothesis,3.0,0.666667,1.0
gd1,c5_root_cause_explanation,2.0,0.666667,1.0
gd1,c6_correct_location,2.0,1.0,1.0
gd1,c7_pattern_or_cve_reference,2.0,0.433333,0.5
gd1,c8_trigger_and_poc_concept,2.0,0.666667,1.0
gd1,c9_impact_classification,2.0,0.666667,1.0
gd1,c10_low_false_positive,2.0,0.666667,1.0
